Month Reported,Credit Reporting Complaints,Debt Collection,Credit Card or Prepaid Card,Mortgage,Checking or Savings Account,Total Complaints
1/1/2020 - 1/31/2020,14847,3765,2402,1835,1845,26407
2/1/2020 - 2/29/2020,13602,3978,2303,1826,1725,25093
3/1/2021 - 3/29/2020,17222,4204,2433,2136,1682,29491
4/1/2020 - 4/30/2020,20813,4513,3173,2202,2022,34809
5/1/2020 - 5/30/2020,23523,4423,3162,1904,1902,36994
6/1/2020 - 6/30/2020,23463,4435,3126,2008,2390,37906
7/1/2020 - 7/30/2020,25554,4859,3058,2133,2524,40662
8/1/2020 - 8/31/2020,25271,4742,2943,2092,2087,39207
9/1/2020 - 9/30/2020,25974,4733,2856,2330,2102,39893
10/1/2020 - 10/30/2020,29979,4941,2879,2237,2051,43980
11/1/2020 - 11/30/2020,28907,4708,2681,1822,1753,41550
12/1/2020 - 12/30/2020,34602,4651,2875,2128,2156,48388
,,,,,,
Total for Year,283757,53952,33891,24653,24239,444380
